"origine";"destination";"premiereclasse";"secondeclasse";"loisir2nd";"Commentaires"
"1016";"CANNES";"TGV HAUTE PICARDIE";"196";30;"155";""
"1017";"CANNES";"TOUL";"175";25;"135";""
"1018";"CANNES";"TOULON";"38";NA;"24,5";""
"1019";"CANNES";"VALENCE";"107";20;"73";""
"1020";"CANNES";"VALENCE TGV";"102";20;"72";""
"1021";"CANNES";"VENTIMIGLIA STAZIONE";"20";NA;"13,6";""
"1022";"CANNES";"VENTIMIGLIA STAZIONE  (IT)";"20";NA;"13,6";""
"1023";"CARCASSONNE";"AEROPORT CDG 2 TGV ROISSY";"162";25;"116";""
"1024";"CARCASSONNE";"ARRAS";"188";30;"150";""
"1025";"CARCASSONNE";"BEAUNE";"124";25;"84";""
"1026";"CARCASSONNE";"CHALON SUR SAONE";"124";25;"84";""
"1027";"CARCASSONNE";"DOUAI";"188";30;"150";""
"1028";"CARCASSONNE";"LILLE EUROPE";"188";30;"150";""
"1029";"CARCASSONNE";"LYON PART DIEU";"109";20;"79";""
"1030";"CARCASSONNE";"LYON PERRACHE";"109";20;"79";""
"1031";"CARCASSONNE";"LYON ST EXUPERY";"109";20;"79";""
"1032";"CARCASSONNE";"MACON VILLE";"124";25;"84";""
"1033";"CARCASSONNE";"MARNE LA VALLEE CHESSY";"162";25;"116";""
"1034";"CARCASSONNE";"MARSEILLE ST CHARLES";"75";15;"58";""
"1035";"CARCASSONNE";"MONTAUBAN VILLE BOURBON";"43";NA;"28,5";""
"1036";"CARCASSONNE";"MONTPELLIER";"43";NA;"29";""
"1037";"CARCASSONNE";"NARBONNE";"21,5";NA;"14,6";""
"1038";"CARCASSONNE";"NIMES";"53";NA;"36";""
"1039";"CARCASSONNE";"PERPIGNAN";"38";NA;"25";""
"1040";"CARCASSONNE";"SETE";"38";NA;"25";""
"1041";"CARCASSONNE";"TGV HAUTE PICARDIE";"188";30;"150";""
"1042";"CARCASSONNE";"TOULOUSE MATABIAU";"28,5";NA;"19,5";""
"1043";"CARCASSONNE";"VALENCE";"95";20;"65";""
"1044";"CARCASSONNE";"VALENCE TGV";"95";20;"65";""
"1045";"CARCASSONNE";"VILLENEUVE LES AVIGNONS";"62";NA;"43";""
"1046";"CARENTAN";"AIME LA PLAGNE";"165";25;"125";""
"1047";"CARENTAN";"ALBERTVILLE";"165";25;"125";""
"1048";"CARENTAN";"BERNAY";"52";NA;"37";""
"1049";"CARENTAN";"BOURG ST MAURICE";"165";25;"125";""
"1050";"CARENTAN";"EVREUX EMBRANCHEMENT";"52";NA;"37";""
"1051";"CARENTAN";"LANDRY";"165";25;"125";""
"1052";"CARENTAN";"LISIEUX";"37";NA;"25";""
"1053";"CARENTAN";"LISON";"9";NA;"5,7";""
"1054";"CARENTAN";"MANTES LA J. TGV";"63";NA;"43";""
"1055";"CARENTAN";"MANTES LA JOLIE";"63";NA;"43";""
"1056";"CARENTAN";"MASSY PALAISEAU";"86";20;"52";""
"1057";"CARENTAN";"MOUTIERS SALINS BRIDES";"165";25;"125";""
"1058";"CARENTAN";"VALOGNES";"12,6";NA;"8,5";""
"1059";"CASTELNAUDARY";"AEROPORT CDG 2 TGV ROISSY";"162";25;"116";""
"1060";"CASTELNAUDARY";"LILLE EUROPE";"188";30;"150";""
"1061";"CASTELNAUDARY";"LYON PART DIEU";"107";NA;"64";""
"1062";"CASTELNAUDARY";"MARNE LA VALLEE CHESSY";"162";25;"116";""
"1063";"CASTELNAUDARY";"MONTPELLIER";"50";NA;"34";""
"1064";"CASTELNAUDARY";"NIMES";"61";NA;"40";""
"1065";"CASTELNAUDARY";"TGV HAUTE PICARDIE";"188";30;"150";""
"1066";"CASTELNAUDARY";"TOULOUSE MATABIAU";"20,5";NA;"13,7";""
"1067";"CASTELNAUDARY";"VALENCE TGV";"93";NA;"54";""
"1068";"CHALON SUR SAONE";"ECOLE VALENTIN";"41";NA;"30";""
"1069";"CHALON SUR SAONE";"LES ARCS DRAGUIGNAN";"121";25;"87";""
"1070";"CHALON SUR SAONE";"MONTBELIARD";"52";NA;"37";""
"1071";"CHALON SUR SAONE";"NARBONNE";"124";25;"84";""
"1072";"CHALON SUR SAONE";"SETE";"107";NA;"81";""
"1073";"CHALON SUR SAONE";"ST RAPHAEL VALESCURE";"151";25;"116";""
"1074";"CHALON SUR SAONE";"TOULOUSE MATABIAU";"143";25;"97";""
"1075";"CHALONS EN CHAMPAGNE";"THIONVILLE";"54";NA;"37";""
"1076";"CHAMBERY CHALLES LES EAUX";"AEROPORT CDG 2 TGV ROISSY";"136";25;"103";""
"1077";"CHAMBERY CHALLES LES EAUX";"AIME LA PLAGNE";"38";NA;"25";""
"1078";"CHAMBERY CHALLES LES EAUX";"AIX LES BAINS LE REVARD";"7,9";NA;"4,6";""
"1079";"CHAMBERY CHALLES LES EAUX";"ALBERTVILLE";"20,5";NA;"14,3";""
"1080";"CHAMBERY CHALLES LES EAUX";"ANNECY";"18,5";NA;"12,6";""
"1081";"CHAMBERY CHALLES LES EAUX";"ANTIBES";"152";25;"100";""
"1082";"CHAMBERY CHALLES LES EAUX";"ARRAS";"167";25;"127";""
"1083";"CHAMBERY CHALLES LES EAUX";"AURAY";"179";30;"137";""
"1084";"CHAMBERY CHALLES LES EAUX";"BELFORT-MONTBELIARD TGV";"89";20;"77";""
"1085";"CHAMBERY CHALLES LES EAUX";"BERNAY";"165";25;"125";""
"1086";"CHAMBERY CHALLES LES EAUX";"BESANCON FRANCHE-COMTE TGV";"72";15;"63";""
"1087";"CHAMBERY CHALLES LES EAUX";"BOURG EN BRESSE";"36";NA;"24,5";""
"1088";"CHAMBERY CHALLES LES EAUX";"BOURG ST MAURICE";"42";NA;"28,5";""
"1089";"CHAMBERY CHALLES LES EAUX";"CANNES";"152";25;"98";""
"1090";"CHAMBERY CHALLES LES EAUX";"CARENTAN";"165";25;"125";""
"1091";"CHAMBERY CHALLES LES EAUX";"CHATELLERAULT";"161";25;"124";""
"1092";"CHAMBERY CHALLES LES EAUX";"CLUSES 74";"36";NA;"24";""
"1093";"CHAMBERY CHALLES LES EAUX";"DOUAI";"167";25;"127";""
"1094";"CHAMBERY CHALLES LES EAUX";"ECOLE VALENTIN";"72";NA;"63";""
"1095";"CHAMBERY CHALLES LES EAUX";"EVREUX EMBRANCHEMENT";"165";25;"125";""
"1096";"CHAMBERY CHALLES LES EAUX";"GRENOBLE";"20,5";NA;"14,3";""
"1097";"CHAMBERY CHALLES LES EAUX";"GUINGAMP";"179";30;"137";""
"1098";"CHAMBERY CHALLES LES EAUX";"LANDRY";"40";NA;"27";""
"1099";"CHAMBERY CHALLES LES EAUX";"LE CREUSOT MONTCEAU MONTCHANIN";"72";15;"55";""
"1100";"CHAMBERY CHALLES LES EAUX";"LEPIN LE LAC LA BAUCHE";"10,5";NA;"5,3";""
"1101";"CHAMBERY CHALLES LES EAUX";"LILLE EUROPE";"167";25;"127";""
"1102";"CHAMBERY CHALLES LES EAUX";"LISIEUX";"165";25;"125";""
"1103";"CHAMBERY CHALLES LES EAUX";"LISON";"165";25;"125";""
"1104";"CHAMBERY CHALLES LES EAUX";"LORIENT";"179";30;"137";""
"1105";"CHAMBERY CHALLES LES EAUX";"LYON PART DIEU";"42";NA;"26";""
"1106";"CHAMBERY CHALLES LES EAUX";"LYON PERRACHE";"42";NA;"26";""
"1107";"CHAMBERY CHALLES LES EAUX";"LYON ST EXUPERY";"42";NA;"22,5";""
"1108";"CHAMBERY CHALLES LES EAUX";"MACON LOCHE TGV";"44";NA;"30";""
"1109";"CHAMBERY CHALLES LES EAUX";"MACON VILLE";"44";NA;"30";""
"1110";"CHAMBERY CHALLES LES EAUX";"MARNE LA VALLEE CHESSY";"136";25;"103";""
"1111";"CHAMBERY CHALLES LES EAUX";"MARSEILLE ST CHARLES";"119";25;"89";""
"1112";"CHAMBERY CHALLES LES EAUX";"MASSY PALAISEAU";"136";25;"103";""
"1113";"CHAMBERY CHALLES LES EAUX";"MASSY TGV";"136";25;"103";""
"1114";"CHAMBERY CHALLES LES EAUX";"MORLAIX";"190";30;"147";""
"1115";"CHAMBERY CHALLES LES EAUX";"MOUTIERS SALINS BRIDES";"32";NA;"22";""
"1116";"CHAMBERY CHALLES LES EAUX";"NANTES";"165";25;"125";""
"1117";"CHAMBERY CHALLES LES EAUX";"NICE VILLE";"152";25;"102";""
"1118";"CHAMBERY CHALLES LES EAUX";"PARIS GARE DE LYON";"136";25;"103";""
"1119";"CHAMBERY CHALLES LES EAUX";"PARIS NORD";"136";25;"103";""
"1120";"CHAMBERY CHALLES LES EAUX";"POITIERS";"161";25;"124";""
"1121";"CHAMBERY CHALLES LES EAUX";"QUIMPER";"190";30;"147";""
"1122";"CHAMBERY CHALLES LES EAUX";"REDON";"179";30;"137";""
"1123";"CHAMBERY CHALLES LES EAUX";"RENNES";"166";25;"127";""
"1124";"CHAMBERY CHALLES LES EAUX";"ROUEN RIVE DROITE";"160";25;"121";""
"1125";"CHAMBERY CHALLES LES EAUX";"SALLANCHES COMBLOUX MEGEVE";"39";NA;"26,5";""
"1126";"CHAMBERY CHALLES LES EAUX";"ST AVRE LA CHAMBRE";"20,5";NA;"13,7";""
"1127";"CHAMBERY CHALLES LES EAUX";"ST BRIEUC";"179";30;"137";""
"1128";"CHAMBERY CHALLES LES EAUX";"ST GERVAIS LES BAINS LE FAYET";"41";NA;"27";""
"1129";"CHAMBERY CHALLES LES EAUX";"ST JEAN DE MAURIENNE ARVAN";"22,5";NA;"15,5";""
"1130";"CHAMBERY CHALLES LES EAUX";"ST MICHEL VALLOIRE";"26";NA;"18,5";""
"1131";"CHAMBERY CHALLES LES EAUX";"ST PIERRE DES CORPS";"151";NA;"114";""
"1132";"CHAMBERY CHALLES LES EAUX";"ST RAPHAEL VALESCURE";"152";25;"93";""
"1133";"CHAMBERY CHALLES LES EAUX";"TGV HAUTE PICARDIE";"156";25;"119";""
"1134";"CHAMBERY CHALLES LES EAUX";"TOULON";"113";25;"83";""
"1135";"CHAMBERY CHALLES LES EAUX";"VALENCE TGV";"66";NA;"36";""
"1136";"CHAMBERY CHALLES LES EAUX";"VALOGNES";"165";25;"125";""
"1137";"CHAMBERY CHALLES LES EAUX";"VANNES";"179";30;"137";""
"1138";"CHAMBERY CHALLES LES EAUX";"VENDOME VILLIERS SUR LOIR";"151";NA;"114";""
"1139";"CHAMBERY CHALLES LES EAUX";"VERSAILLES CHANTIERS";"136";25;"103";""
"1140";"CHAMBÉRY";"CHAMBÉRY-LAVAL";"162";25;"120";""
"1141";"CHAMPAGNE ARDENNE";"FUTUROSCOPE";"128";25;"97";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"1142";"CHAMPAGNE ARDENNE";"POITIERS";"128";25;"97";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"1143";"CHAMPAGNE ARDENNE";"RENNES";"143";25;"108";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"1144";"CHAMPAGNE ARDENNE";"AEROPORT CDG 2 TGV ROISSY";"61";15;"44";""
"1145";"CHAMPAGNE ARDENNE";"ARRAS";"107";20;"82";""
"1146";"CHAMPAGNE ARDENNE";"BAR LE DUC";"43";NA;"31";""
"1147";"CHAMPAGNE ARDENNE";"CHALONS EN CHAMPAGNE";"16,5";NA;"11,3";""
"1148";"CHAMPAGNE ARDENNE";"colmar";"112";25;"90";""
"1149";"CHAMPAGNE ARDENNE";"DOUAI";"96";20;"80";""
"1150";"CHAMPAGNE ARDENNE";"FUTUROSCOPE";"123";25;"93";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"1151";"CHAMPAGNE ARDENNE";"LIBOURNE";"149";25;"112";""
"1152";"CHAMPAGNE ARDENNE";"LILLE EUROPE";"96";20;"80";""
"1153";"CHAMPAGNE ARDENNE";"LORRAINE TGV";"57";NA;"42";""
"1154";"CHAMPAGNE ARDENNE";"MARNE LA VALLEE CHESSY";"61";15;"44";""
"1155";"CHAMPAGNE ARDENNE";"MEUSE";"33";NA;"23,5";""
"1156";"CHAMPAGNE ARDENNE";"NANCY VILLE";"57";NA;"42";""
"1157";"CHAMPAGNE ARDENNE";"NANTES";"129";25;"98";""
"1158";"CHAMPAGNE ARDENNE";"PARIS EST";"61";15;"44";""
"1159";"CHAMPAGNE ARDENNE";"POITIERS";"123";25;"93";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"1160";"CHAMPAGNE ARDENNE";"RENNES";"129";25;"98";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"1161";"CHAMPAGNE ARDENNE";"ROUEN RIVE DROITE";"70";15;"53";""
"1162";"CHAMPAGNE ARDENNE";"SAVERNE";"96";20;"66";""
"1163";"CHAMPAGNE ARDENNE";"ST PIERRE DES CORPS";"110";25;"83";""
"1164";"CHAMPAGNE ARDENNE";"TGV HAUTE PICARDIE";"79";20;"65";""
"1165";"CHAMPAGNE ARDENNE";"THIONVILLE";"78";NA;"52";""
"1166";"CHAMPAGNE ARDENNE";"VENDOME VILLIERS SUR LOIR";"110";25;"83";""
"1167";"CHARLEVILLE MEZIERES";"SEDAN";"9,7";NA;"6,3";""
"1168";"CHATEAUROUX";"AEROPORT CDG 2 TGV ROISSY";"86";20;"69";""
"1169";"CHATEAUROUX";"JUVISY";"65";15;"43";""
"1170";"CHATEAUROUX";"JUVISY TGV";"65";15;"43";""
"1171";"CHATEAUROUX";"LA SOUTERRAINE";"26";NA;"18";""
"1172";"CHATEAUROUX";"LES AUBRAIS ORLEANS";"41";NA;"27";""
"1173";"CHATEAUROUX";"LILLE EUROPE";"132";25;"105";""
"1174";"CHATEAUROUX";"MARNE LA VALLEE CHESSY";"86";20;"69";""
"1175";"CHATEAUROUX";"VIERZON VILLE";"22,5";NA;"15";""
"1176";"CHATELLERAULT ";" MONTAUBAN VILLE BOURBON";"97";NA;"67";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"1177";"CHATELLERAULT ";"ST PIERRE DES CORPS";"23,5";NA;"16";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"1178";"CHATELLERAULT ";" TOULOUSE MATABIAU";"105";NA;"73";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"1179";"CHATELLERAULT";"LIBOURNE";"60";NA;"41";""
"1180";"CHATELLERAULT";"MONTAUBAN VILLE BOURBON";"95";NA;"66";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"1181";"CHATELLERAULT";"ST JEAN DE LUZ CIBOURE";"103";NA;"70";""
"1182";"CHATELLERAULT";"ST PIERRE DES CORPS";"22";NA;"15";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"1183";"CHATELLERAULT";"TARBES";"105";NA;"73";""
"1184";"CHATELLERAULT";"TOULOUSE MATABIAU";"103";NA;"72";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"1185";"CHERBOURG";"AEROPORT CDG 2 TGV ROISSY";"86";20;"70";""
"1186";"CHERBOURG";"AIME LA PLAGNE";"165";25;"125";""
"1187";"CHERBOURG";"ALBERTVILLE";"165";25;"125";""
"1188";"CHERBOURG";"BAYEUX";"39";NA;"25";""
"1189";"CHERBOURG";"BERNAY";"64";NA;"44";""
"1190";"CHERBOURG";"BOURG ST MAURICE";"165";25;"125";""
"1191";"CHERBOURG";"CAEN";"39";NA;"26,5";""
"1192";"CHERBOURG";"CARENTAN";"20";NA;"13,6";""
"1193";"CHERBOURG";"CHAMBERY CHALLES LES EAUX";"165";25;"125";""
"1194";"CHERBOURG";"EVREUX EMBRANCHEMENT";"64";NA;"44";""
"1195";"CHERBOURG";"LANDRY";"165";25;"125";""
"1196";"CHERBOURG";"LISIEUX";"48";NA;"34";""
"1197";"CHERBOURG";"LISON";"26";NA;"17";""
"1198";"CHERBOURG";"MANTES LA J. TGV";"72";NA;"60";""
"1199";"CHERBOURG";"MANTES LA JOLIE";"72";15;"60";""
"1200";"CHERBOURG";"MARNE LA VALLEE CHESSY";"86";20;"70";""
"1201";"CHERBOURG";"MASSY PALAISEAU";"86";20;"52";""
"1202";"CHERBOURG";"MONTBARD";"102";20;"78";""
"1203";"CHERBOURG";"MOUTIERS SALINS BRIDES";"165";25;"125";""
"1204";"CHERBOURG";"VALOGNES";"12,6";NA;"8,7";""
"1205";"CHERBOURG";"VERSAILLES CHANTIERS";"86";20;"52";""
"1206";"CLUSES 74";"AEROPORT CDG 2 TGV ROISSY";"163";25;"119";""
"1207";"CLUSES 74";"AIX LES BAINS LE REVARD";"32";NA;"21,5";""
"1208";"CLUSES 74";"ANNECY";"21";NA;"14,6";""
"1209";"CLUSES 74";"ANNEMASSE";"16";NA;"11";""
"1210";"CLUSES 74";"ARRAS";"167";NA;"127";""
"1211";"CLUSES 74";"AURAY";"179";30;"137";""
"1212";"CLUSES 74";"BELLEGARDE";"24,5";NA;"17,5";""
"1213";"CLUSES 74";"BOURG EN BRESSE";"50";NA;"36";""
"1214";"CLUSES 74";"DOUAI";"167";NA;"127";""
"1215";"CLUSES 74";"LA ROCHE SUR FORON";"11,3";NA;"7,9";""
"1216";"CLUSES 74";"LILLE EUROPE";"167";NA;"127";""
"1217";"CLUSES 74";"LORIENT";"179";30;"137";""
"1218";"CLUSES 74";"MACON LOCHE TGV";"58";15;"40";""
"1219";"CLUSES 74";"MARNE LA VALLEE CHESSY";"163";25;"119";""
"1220";"CLUSES 74";"MORLAIX";"190";30;"147";""
"1221";"CLUSES 74";"NANTES";"167";25;"127";""
"1222";"CLUSES 74";"PARIS GARE DE LYON";"163";25;"119";""
"1223";"CLUSES 74";"PARIS NORD";"163";25;"119";""
"1224";"CLUSES 74";"QUIMPER";"190";30;"147";""
"1225";"CLUSES 74";"REDON";"179";30;"137";""
"1226";"CLUSES 74";"RENNES";"170";25;"132";""
"1227";"CLUSES 74";"SALLANCHES COMBLOUX MEGEVE";"8,4";NA;"5,3";""
"1228";"CLUSES 74";"ST BRIEUC";"179";30;"137";""
"1229";"CLUSES 74";"ST GERVAIS LES BAINS LE FAYET";"10,4";NA;"6,8";""
"1230";"CLUSES 74";"TGV HAUTE PICARDIE";"156";25;"119";""
"1231";"CLUSES 74";"VANNES";"179";30;"137";""
"1232";"COLMAR";"AEROPORT CDG 2 TGV ROISSY";"137";25;"96";""
"1233";"COLMAR";"AIME LA PLAGNE";"134";25;"109";""
"1234";"COLMAR";"AIX EN PROVENCE TGV";"161";20;"124";""
"1235";"COLMAR";"ALBERTVILLE";"126";25;"106";""
"1236";"COLMAR";"AVIGNON";"149";NA;"114";""
"1237";"COLMAR";"AVIGNON TGV";"149";20;"114";""
"1238";"COLMAR";"BELFORT-MONTBELIARD TGV";"37";NA;"27,5";""
"1239";"COLMAR";"BESANCON FRANCHE-COMTE TGV";"61";15;"46";""
"1240";"COLMAR";"BOURG EN BRESSE";"90";20;"70";""
"1241";"COLMAR";"BOURG ST MAURICE";"134";25;"109";""
"1242";"COLMAR";"CHALON SUR SAONE";"90";20;"72";""
"1243";"COLMAR";"CHAMBERY CHALLES LES EAUX";"109";20;"92";""
"1244";"COLMAR";"ECOLE VALENTIN";"61";NA;"46";""
"1245";"COLMAR";"LANDRY";"134";25;"109";""
"1246";"COLMAR";"LONS LE SAUNIER";"77";15;"60";""
"1247";"COLMAR";"LYON PART DIEU";"110";20;"85";""
"1248";"COLMAR";"LYON PERRACHE";"110";20;"85";""
"1249";"COLMAR";"LYON ST EXUPERY";"110";20;"85";""
"1250";"COLMAR";"MACON VILLE";"90";20;"72";""
"1251";"COLMAR";"MARNE LA VALLEE CHESSY";"137";25;"96";""
"1252";"COLMAR";"MARSEILLE ST CHARLES";"161";20;"124";""
"1253";"COLMAR";"MONTBELIARD";"31";NA;"21";""
"1254";"COLMAR";"MONTPELLIER";"160";25;"112";""
"1255";"COLMAR";"MOUCHARD";"64";NA;"44";""
"1256";"COLMAR";"MOUTIERS SALINS BRIDES";"132";25;"109";""
"1257";"COLMAR";"MULHOUSE VILLE";"15";NA;"9,8";""
"1258";"COLMAR";"NIMES";"152";25;"107";""
"1259";"COLMAR";"PARIS EST";"150";25;"112";""
"1260";"COLMAR";"PARIS GARE DE LYON";"150";NA;"112";""
"1261";"COLMAR";"SAVERNE";"23";NA;"15,5";""
"1262";"COLMAR";"SELESTAT";"9,1";NA;"6";""
"1263";"COLMAR";"VALENCE TGV";"128";20;"98";""
"1264";"CONFLANS FDO TGV";"AEROPORT CDG 2 TGV ROISSY";"47";NA;"35";""
"1265";"CONFLANS FDO TGV";"ROUEN RIVE DROITE";"47";NA;"35";""
"1266";"CONFLANS FIN D'OISE";"AEROPORT CDG 2 TGV ROISSY";"47";NA;"35";""
"1267";"CONFLANS FIN D'OISE";"MANTES LA JOLIE";"47";NA;"35";""
"1268";"CONFLANS FIN D'OISE";"MEUSE";"68";15;"44";""
"1269";"CONFLANS FIN D'OISE";"ROUEN RIVE DROITE";"47";NA;"35";""
"1270";"COUTRAS";"PARIS MONTPARNASSE 1 ET 2";"126";NA;"96";""
"1271";"CROIX WASQUEHAL";"ARRAS";"35";NA;"17,5";""
"1272";"CROIX WASQUEHAL";"PARIS NORD";"82";15;"63";""
"1273";"CULMONT CHALINDREY";"AGDE";"125";25;"94";""
"1274";"CULMONT CHALINDREY";"Antibes";"161";25;"124";""
"1275";"CULMONT CHALINDREY";"BEZIERS";"125";25;"94";""
"1276";"CULMONT CHALINDREY";"cannes";"161";25;"124";""
"1277";"CULMONT CHALINDREY";"carcassonne";"131";25;"101";""
"1278";"CULMONT CHALINDREY";"CHALON SUR SAONE";"46";NA;"31";""
"1279";"CULMONT CHALINDREY";"Les Arcs Draguignan";"145";25;"105";""
"1280";"CULMONT CHALINDREY";"LYON PART DIEU";"73";20;"48";""
"1281";"CULMONT CHALINDREY";"MACON VILLE";"55";NA;"35";""
"1282";"CULMONT CHALINDREY";"MARSEILLE ST CHARLES";"140";25;"98";""
"1283";"CULMONT CHALINDREY";"MONTPELLIER";"113";25;"84";""
"1284";"CULMONT CHALINDREY";"NANCY VILLE";"46";NA;"30";""
"1285";"CULMONT CHALINDREY";"narbonne";"127";25;"98";""
"1286";"CULMONT CHALINDREY";"NEUFCHATEAU";"33";NA;"24,5";""
"1287";"CULMONT CHALINDREY";"nice ville";"161";25;"124";""
"1288";"CULMONT CHALINDREY";"NIMES";"111";25;"80";""
"1289";"CULMONT CHALINDREY";"SETE";"125";25;"94";""
"1290";"CULMONT CHALINDREY";"ST RAPHAEL VALESCURE";"161";25;"124";""
"1291";"CULMONT CHALINDREY";"toulon";"137";25;"100";""
"1292";"CULMONT CHALINDREY";"toulouse matabiau";"142";25;"108";""
"1293";"CULMONT CHALINDREY";"VALENCE TGV";"101";20;"77";""
"1294";"CULOZ";"AIX LES BAINS LE REVARD";"10,4";NA;"6,7";""
"1295";"CULOZ";"ANNECY";"20,5";NA;"14,2";""
"1296";"CULOZ";"ANTIBES";"143";NA;"98";""
"1297";"CULOZ";"BELLEGARDE";"13,7";NA;"9,3";""
"1298";"CULOZ";"BOURG EN BRESSE";"26";NA;"18,5";""
"1299";"CULOZ";"CANNES";"143";NA;"98";""
"1300";"CULOZ";"LES ARCS DRAGUIGNAN";"143";NA;"98";""
"1301";"CULOZ";"LYON PART DIEU";"26,5";NA;"18";""
"1302";"CULOZ";"MACON LOCHE TGV";"36";NA;"24,5";""
"1303";"CULOZ";"MARSEILLE ST CHARLES";"109";NA;"65";""
"1304";"CULOZ";"NICE VILLE";"143";NA;"98";""
"1305";"CULOZ";"PARIS GARE DE LYON";"127";25;"89";""
"1306";"CULOZ";"PARIS NORD";"127";25;"89";""
"1307";"CULOZ";"ST RAPHAEL VALESCURE";"143";NA;"98";""
"1308";"CULOZ";"TOULON";"143";NA;"98";""
"1309";"CULOZ";"VALENCE TGV";"66";NA;"39";""
"1310";"DAX";"MASSY TGV";"173";25;"122";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"1311";"DAX";"PARIS MONTPARNASSE 1 ET 2";"173";25;"122";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"1312";"DAX";"AEROPORT CDG 2 TGV ROISSY";"143";25;"110";""
"1313";"DAX";"ANGOULEME";"67";NA;"46";""
"1314";"DAX";"ARRAS";"174";30;"144";""
"1315";"DAX";"BAYONNE";"18,5";NA;"12,6";""
"1316";"DAX";"BIARRITZ";"20,5";NA;"14,2";""
"1317";"DAX";"BORDEAUX ST JEAN";"42";NA;"29";""
"1318";"DAX";"CHATELLERAULT";"90";NA;"63";""
"1319";"DAX";"DOUAI";"174";30;"144";""
"1320";"DAX";"FACTURE BIGANOS";"33";NA;"22,5";""
"1321";"DAX";"FUTUROSCOPE";"87";NA;"61";""
"1322";"DAX";"HENDAYE";"27";NA;"19,5";""
"1323";"DAX";"LIBOURNE";"49";NA;"35";""
"1324";"DAX";"LILLE EUROPE";"174";30;"144";""
"1325";"DAX";"LILLE FLANDRES";"174";30;"144";""
"1326";"DAX";"LOURDES";"37";NA;"25";""
"1327";"DAX";"MARNE LA VALLEE CHESSY";"143";25;"110";""
"1328";"DAX";"MASSY TGV";"143";25;"110";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"1329";"DAX";"ORTHEZ";"17";NA;"11,4";""
"1330";"DAX";"PARIS AUSTERLITZ";"143";25;"110";""
"1331";"DAX";"PARIS MONTPARNASSE 1 ET 2";"143";25;"110";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"1332";"DAX";"PAU";"27";NA;"19";""
"1333";"DAX";"POITIERS";"86";NA;"60";""
"1334";"DAX";"RUFFEC CHARENTE";"67";NA;"46";""
"1335";"DAX";"ST JEAN DE LUZ CIBOURE";"23,5";NA;"16,5";""
"1336";"DAX";"ST PIERRE DES CORPS";"103";25;"70";""
"1337";"DAX";"TARBES";"42";NA;"28,5";""
"1338";"DAX";"TGV HAUTE PICARDIE";"174";30;"144";""
"1339";"DIJON VILLE";"AEROPORT CDG 2 TGV ROISSY";"90";15;"67";""
"1340";"DIJON VILLE";"AGDE";"134";NA;"101";""
"1341";"DIJON VILLE";"AGEN";"163";25;"122";""
"1342";"DIJON VILLE";"AIX EN PROVENCE TGV";"122";20;"91";""
"1343";"DIJON VILLE";"ANTIBES";"161";25;"124";""
"1344";"DIJON VILLE";"AVIGNON";"106";20;"81";""
"1345";"DIJON VILLE";"AVIGNON TGV";"106";20;"81";""
"1346";"DIJON VILLE";"BEAUNE";"15";NA;"10,3";""
"1347";"DIJON VILLE";"BELFORT";"53";NA;"37";""
"1348";"DIJON VILLE";"BELFORT-MONTBELIARD TGV";"64";15;"49";""
"1349";"DIJON VILLE";"BESANCON FRANCHE-COMTE TGV";"33";NA;"24,5";""
"1350";"DIJON VILLE";"BESANCON VIOTTE";"33";NA;"24,5";""
"1351";"DIJON VILLE";"BEZIERS";"134";20;"101";""
"1352";"DIJON VILLE";"BORDEAUX ST JEAN";"185";30;"137";""
"1353";"DIJON VILLE";"CAEN";"112";20;"86";""
"1354";"DIJON VILLE";"CANNES";"161";25;"124";""
"1355";"DIJON VILLE";"CARCASSONNE";"141";25;"107";""
"1356";"DIJON VILLE";"CHALON SUR SAONE";"22,5";NA;"15";""
"1357";"DIJON VILLE";"CHERBOURG";"112";20;"86";""
"1358";"DIJON VILLE";"COLMAR";"75";20;"57";""
"1359";"DIJON VILLE";"CULMONT CHALINDREY";"24,5";NA;"16,5";""
"1360";"DIJON VILLE";"DOLE VILLE";"16,5";NA;"11,9";""
"1361";"DIJON VILLE";"ECOLE VALENTIN";"33";NA;"24,5";""
"1362";"DIJON VILLE";"EVREUX EMBRANCHEMENT";"107";20;"82";""
"1363";"DIJON VILLE";"FRASNE";"36";NA;"24,5";""
"1364";"DIJON VILLE";"LES ARCS DRAGUIGNAN";"137";25;"97";""
